putfile_dbztenkaichi,putfile_bui,callout_mouss,callout_pneumatic,callout_Turn-Table,callout_luckeymonkey,battleclip_daq,callout_azeem,callout_mcld,callout_adiao
11.20761905,12.6,7.049433106,6.980498866,7.163356009,7.463265306,9.987482993,3.628843537,8.095056689,6.196825396
11.40190476,12.8244898,7.341496598,7.337505668,7.342857142,7.561224489,10.10816327,3.702131519,8.26340136,6.327437641
11.52253968,13.05510204,7.620861678,7.485714285,7.51600907,7.681451247,10.24326531,3.743492063,8.440816326,6.442086167
11.76671202,13.28163265,7.871201814,7.68,7.720408163,7.871564625,10.52952381,3.83877551,8.823582766,6.597369614
11.93396825,13.48163265,8.044897959,8.063129251,7.870113378,8.057324263,10.80816327,4.023582766,9.581133786,6.681632653
12.07111111,13.73673469,8.15600907,8.289523809,8.07755102,8.206802721,10.87959184,4.096145124,9.723356009,6.853061224
12.25868481,13.97346939,8.320408163,8.433197278,8.225668934,8.398367346,11.0922449,4.144761904,9.93877551,6.943492063
12.41650794,14.2,8.408163265,8.774240362,8.549297052,8.588480725,11.35673469,4.230385487,10.14131519,7.091836734
12.56734694,14.44489796,8.585578231,9.134149659,8.746938775,8.746666666,11.43873016,4.416870748,10.24580499,7.204081632
12.75428571,14.68163265,8.67664399,9.43600907,8.883673469,8.957097505,11.62013605,4.479274376,10.46349206,7.350566893
12.88380952,14.9122449,8.817777777,9.647891156,9.225578231,9.148662131,11.86612245,4.532244897,10.67827664,7.465306122
13.0800907,15.13673469,8.918367346,9.801723356,9.406122448,9.337324263,12.02938776,4.624489795,10.80018141,7.597278911
13.25206349,15.33061224,9.184580498,10.10938776,9.570975056,9.510022675,12.17015873,4.813061224,11.03528345,7.702040816
14.41088435,15.6,9.449433106,10.22839002,9.906213151,9.691428571,12.27346939,4.882721088,11.21814059,7.867573696
14.57269841,15.80204082,9.712471655,10.29514739,10.08571429,9.882993197,12.40816327,4.942222222,11.37959184,7.98185941
14.70730159,16.06122449,9.910204081,10.44752834,10.24725624,10.09777778,12.69768707,5.021315192,11.51836735,8.17632653
14.92752834,16.19795918,9.970408163,10.71600907,10.4244898,10.25741497,12.98285714,5.134693877,11.76961451,8.517369614
15.08571429,16.30816327,10.07959184,10.95981859,10.5752381,10.44081633,13.03873016,5.226122448,12.60843537,8.767346938
15.22285714,16.56326531,10.13061224,11.13396825,10.76530612,10.51428571,13.1352381,5.317369614,12.78548753,8.934693877
15.42222222,16.7877551,10.24081633,11.3661678,10.93514739,10.63909297,13.23428571,5.432653061,13.12507937,9.046349206
15.55047619,17.01632653,10.47219955,11.55773243,11.1244898,10.81904762,13.49442177,5.524897959,13.25278912,9.289795918
15.7445805,17.22653061,10.57596372,11.75945578,11.42040816,10.99319728,13.57786848,5.618231292,13.43854875,9.451247165
15.91111111,17.4877551,10.75102041,12.10630385,11.57079365,11.15573696,13.77959184,5.726530612,13.62430839,9.583673469
16.46603175,17.71836735,10.81836735,12.26739229,11.88571429,11.34875283,14.00816327,5.820408163,13.76943311,9.70340136
16.59387755,17.95102041,10.95510204,12.60698413,12.22530612,11.54902494,14.17469388,5.930612244,13.98131519,9.81632653
16.65306122,18.07142857,11.00408163,12.78984127,12.55619048,11.7231746,14.26575964,6.036734693,14.68371882,9.971882086
16.75306122,18.17142857,11.08979592,12.95092971,12.75510204,11.91764172,14.39238095,6.132653061,15.44417234,10.08979592
16.8122449,18.40816327,11.37414966,13.11492063,12.86965986,12.10485261,14.54040816,6.242857142,15.6154195,10.34285714
16.9231746,18.64693878,11.61360544,13.48498866,13.20344671,12.26884354,14.81360544,6.332653061,15.76326531,10.60680272
17.08988662,18.87959184,11.90022676,13.6185034,13.3906576,12.4676644,15.04653061,6.418412698,15.9753288,10.76680272
17.26734694,19.1,12.15564626,13.67655329,13.52272109,12.65052154,15.18911565,6.512244897,16.14367347,10.86122449
17.34285714,19.35918367,12.32653061,13.79410431,13.86086168,12.84208617,15.23628118,6.606984126,16.28879819,11.01632653
17.43061224,19.56530612,12.5,13.9755102,14.05097506,13.01333333,15.30739229,6.820498866,16.51229025,11.11873016
17.48571429,19.80612245,12.60263039,14.27736961,14.1877551,13.12244898,15.57768707,6.918276643,16.64290249,11.27755102
17.56530612,19.94489796,12.70612245,14.37315193,14.51537415,13.21941043,15.71755102,7.028571428,16.88671202,11.3877551
17.63673469,20.03673469,12.91428571,14.59809524,14.73160998,13.30408163,15.75673469,7.120816326,17.62975057,11.55192744
17.72444444,20.19183673,13.01428571,14.75047619,14.88253968,13.41968254,15.81714286,7.214603174,18.36117914,11.66122449
17.80612245,20.31428571,13.15102041,14.87238095,15.2122449,13.48367347,16.09795918,7.318367346,18.52371882,11.81133787
17.86122449,20.4755102,13.21795918,14.94494331,15.4093424,13.61124717,16.22204082,7.395192743,18.67464853,11.93673469
17.94793651,20.59591837,13.50204082,15.05668934,15.53414966,13.6755102,16.27102041,7.524489795,18.88653061,12.08344671
18.02653061,20.73061224,13.76145125,15.35709751,15.86503401,14.05097506,16.32326531,7.627755102,19.00843537,12.20789116
18.09183673,20.87142857,14.04807256,15.5138322,16.06965986,14.2338322,16.59863946,7.731428571,19.18548753,12.39183673
18.19174603,20.99809524,14.29188209,15.67056689,16.21768707,14.4399093,16.77061224,7.83877551,19.39736961,12.738322
18.35537415,21.13061224,14.44897959,16.04208617,16.52970522,14.64163265,16.89306122,7.932653061,19.53959184,12.99183673
18.55306122,21.25641723,14.59387755,16.14657596,16.72653061,14.81433107,17.16027211,8.026757369,19.77179138,13.14489796
18.62857143,21.38367347,14.75628118,16.21333333,16.85043084,15.00444444,17.24952381,8.134693877,20.5322449,13.2368254
18.70204082,21.5321542,14.87346939,16.35120181,17.15664399,15.19455782,17.44326531,8.215510204,21.26657596,13.51020408
18.79183673,21.65986395,15.12562358,16.51519274,17.50929705,15.37741497,17.50603175,8.324489795,21.43492063,13.66893424
18.85306122,21.80816327,15.25918367,16.64290249,17.84018141,15.56462585,17.73931973,8.418684807,21.57714286,13.7755102
18.9244898,21.9660771,15.32857143,16.85043084,18.05918367,15.75619048,17.88734694,8.474557823,21.78902494,13.92108844
19.0031746,22.09088435,15.40643991,16.97668934,18.18267574,15.93179138,18.01396825,8.529705215,21.92544218,14.04285714
19.14285714,22.18739229,15.54829932,17.18131519,18.5106576,16.1538322,18.14639456,8.62185941,22.1199093,14.19591837
19.2122449,22.24326531,15.6877551,17.33079365,18.72108844,16.31346939,18.27265306,8.716190476,22.31727891,14.31365079
19.2755102,22.34630385,15.82004535,17.4614059,18.87637188,16.50408163,18.33904762,8.79600907,22.45079365,14.56253968
19.37346939,22.46122449,15.91292517,17.55428571,19.16952381,16.58571429,18.56653061,8.897596371,22.66267574,14.71020408
19.44634921,22.61043084,16.0877551,17.65587302,19.36122449,16.68498866,18.69387755,8.993378684,23.38829932,14.81020408
19.61070295,22.73959184,16.1723356,18.00126984,19.49591837,16.87800454,18.81251701,9.094965986,23.74693878,14.98367347
19.79183673,22.89795918,16.29387755,18.13478458,19.68036281,17.04054422,18.95510204,9.190022675,24.08780045,15.06326531
19.87142857,23.04580499,16.35510204,18.29297052,19.96190476,17.22195011,19.09333333,9.242993197,24.4244898,15.14285714
19.93265306,23.17641723,16.46585034,18.65142857,20.09977324,17.42657596,19.22539683,9.307573696,24.63637188,15.22244898
20.00816327,23.26566893,16.60045351,18.79365079,20.39582766,17.62104308,19.33641723,9.396825396,24.79183673,15.34730159
20.0755102,23.32734694,16.75827664,18.86040816,20.72380952,17.7937415,19.46666667,9.483900226,25.15301587,15.48979592
20.14897959,23.421678,16.88380952,18.96199546,20.89795918,17.96353741,19.5352381,9.56526077,25.4984127,15.58163265
20.22730159,23.54897959,16.97596372,19.1477551,21.14081633,18.05714286,19.6244898,9.653696145,25.86122449,15.66122449
20.3244898,23.67346939,17.15510204,19.25514739,21.29560091,18.15945578,19.8770068,9.748843537,26.17759637,15.72861678
20.38639456,23.79387755,17.22267574,19.46122449,21.61020408,18.36698413,19.99020408,9.94031746,26.53061224,15.84489796
20.4647619,23.94557823,17.36272109,19.63537415,21.78979592,18.57886621,20.13714286,10.03319728,26.85387755,15.89387755
20.54820862,24.07764172,17.46938776,19.76888889,21.9138322,18.73560091,20.2644898,10.1355102,27.2,15.99564626
20.61278912,24.20825397,17.74512472,19.94594104,22.25632653,18.93442177,20.41836735,10.22675737,27.38793651,16.09183673
20.70603175,24.2877551,18.01360544,20.07655329,22.55963719,19.12453515,20.4744898,10.31755102,27.56734694,16.24897959
20.8645805,24.43900227,18.27120181,20.14040816,22.86294785,19.30303855,20.68244898,10.46929705,27.91619048,16.34394558
21.04816327,24.55918367,18.51972789,20.25360544,23.1,19.47138322,20.82285714,10.58163265,28.28770975,16.49387755
21.12498866,24.70408163,18.78276644,20.5844898,23.20834467,19.67165533,20.94585034,10.67573696,28.63265306,16.57904762
21.20380952,24.82857143,18.93877551,20.74993197,23.51165533,19.73061224,21.09714286,10.79437642,28.9785034,16.69591837
21.27165533,24.9755102,19.02585034,20.90666667,23.85414966,20.07510204,21.24952381,10.90816327,29.32653061,16.74489796
21.35147392,25.1244898,19.30884354,21.25496599,24.21405896,20.24780045,21.36961451,11.02594104,29.68961451,16.82176871
21.42430839,25.24662132,19.55011338,21.43637188,24.54081633,20.4553288,21.43564626,11.15165533,30.02857143,17.06920635
21.50984127,25.33587302,19.78594104,21.75709751,24.87002268,20.62947846,21.47773243,11.26938776,30.21206349,17.24693878
21.64780045,25.3939229,20.03809524,21.93269841,25.17188209,20.81088435,21.60471655,11.4000907,30.37142857,17.36272109
21.72263039,25.49043084,20.3138322,22.2737415,25.4955102,20.99809524,21.66276644,11.52879819,30.73741497,17.59746032
21.80344671,25.59795918,20.57868481,22.41886621,25.74285714,21.19546485,21.75020408,11.65102041,31.10022676,17.76689342
21.86031746,25.74693878,20.81269841,22.59882086,25.83800454,21.37687075,21.81804989,11.77124717,31.44081633,17.86920635
21.93269841,25.87346939,20.96471655,22.74539683,26.16018141,21.58730159,22.02122449,11.90294785,31.78811791,18.00634921
22.10104308,26.03877551,21.06485261,22.94131519,26.498322,21.75709751,22.14204082,12.030839,32.14693878,18.11836735
22.27736961,26.19489796,21.2755102,23.12562358,26.84226757,21.9414059,22.27845805,12.15337868,32.50793651,18.26734694
22.35120181,26.31734694,22.24693878,23.29687075,27.17024943,22.13442177,22.43628118,12.2860771,32.82857143,18.3814966
22.42204082,26.44462585,22.64897959,23.40281179,27.35510204,22.29405896,22.55346939,12.3907483,33.021678,18.62040816
22.49587302,26.58394558,22.95328798,23.59873016,27.4706576,22.48571429,22.62204082,12.47564626,33.20408163,18.8553288
22.56371882,26.70408163,23.20253968,23.97460317,27.78848073,22.56836735,22.82521542,12.5724263,33.54122449,19.04181406
22.63954649,26.85306122,23.45578231,24.09360544,28.1106576,22.67573696,22.95836735,12.65922902,33.91564626,19.13650794
22.72888889,26.9744898,23.62653061,24.15165533,28.41977324,22.7377551,23.08063492,12.73306122,34.16526077,19.39156463
22.80417234,27.13877551,23.75873016,24.28371882,28.55619048,23.54358277,23.21632653,12.81986395,34.41487528,19.64190476
22.86503401,27.27755102,24.04172336,24.60444444,28.60988662,23.73079365,23.37414966,12.90013605,34.64126984,19.7877551
22.94222222,27.40390023,24.3138322,24.74956916,28.70612245,23.89913832,23.50331066,12.96054422,35.39011338,19.90349206
23.02267574,27.53451247,24.46621315,25.07755102,29.04816327,24.06893424,23.56970522,13.04961451,35.52362812,20.03809524
23.08952381,27.66947846,24.59863946,25.23718821,29.36453515,24.24743764,23.61614512,13.16136054,35.72244898,20.14285714
23.16444444,27.80816327,24.77346939,25.341678,,24.41287982,23.67746032,13.23029478,35.92417234,20.30612245
23.33895692,27.95204082,24.90702948,25.40553288,,24.58993197,23.73986395,13.30793651,36.05478458,20.42195011
23.52852608,28.04591837,25.16099773,25.52598639,,24.76122449,23.7976644,13.36598639,36.25795918,20.62244898
23.60235828,28.18061224,25.43746032,25.76834467,,24.93823129,23.88244898,13.44285714,36.46403628,20.95238095
23.67020408,28.3385034,25.67800454,25.95410431,,25.10918367,23.95102041,13.56117914,36.609161,21.19546485
23.73804989,28.63571429,25.89795918,26.12244898,,25.19897959,24.14004535,13.67591837,36.80072562,21.46104308
23.81587302,28.76530612,25.93877551,26.47945578,,25.28265306,24.25795918,13.77755102,36.97777778,21.71174603
23.88072562,28.91020408,26.27120181,26.61587302,,25.35816327,24.40598639,13.88743764,37.13469388,21.87029478
23.9568254,29.05408163,26.53605442,26.71165533,,25.45510204,24.54349206,13.98712018,37.50312925,22.1170068
24.04634921,29.17857143,26.78639456,26.82485261,,25.51938776,24.67591837,14.07301587,38.22585034,22.22439909
24.11219955,29.32653061,26.99183673,27.13251701,,25.64498866,24.73795918,14.1877551,38.41741497,22.49142857
24.19047619,29.60408163,27.08163265,27.28634921,,25.70204082,24.96226757,14.28462585,38.57142857,22.66993197
24.2768254,29.75346939,27.35600907,27.58385488,,26.07346939,25.2429932,14.39229025,38.76571429,22.910839
24.33269841,29.88367347,27.51927438,27.73623583,,26.24725624,25.32643991,14.48507937,38.90793651,23.01823129
24.41396825,30.00612245,27.57659864,27.8552381,,26.43301587,25.43768707,14.69460317,39.08789116,23.28734694
24.57251701,30.15918367,27.86213152,27.94521542,,26.6,25.53995465,14.80036281,39.28816327,23.53342404
24.76471655,30.27653061,28.04897959,28.05986395,,26.77142857,25.76544218,14.99492063,39.41877551,23.79174603
24.83755102,30.41428571,28.13673469,28.3138322,,26.95401361,26.10285714,15.09070295,39.61614512,23.96081633
24.90938776,30.54285714,28.39909297,28.52426304,,27.13265306,26.15945578,15.27292517,39.77287982,24.21115646
24.98521542,30.84183673,28.66938776,28.71727891,,27.30612245,26.40326531,15.34403628,39.99183673,24.31274376
25.0460771,30.95510204,28.93605442,29.0800907,,27.49097506,26.49469388,15.39773243,40.36498866,24.54929705
25.13088435,31.08367347,29.1244898,29.19909297,,27.66530612,26.59482993,15.49061224,41.09641723,24.72857143
25.21650794,31.24183673,29.20408163,29.29197279,,27.85088435,26.72108844,15.57959184,41.27056689,24.80253968
25.31646259,31.35510204,29.47664399,29.39356009,,28.03673469,26.81142857,15.69133787,41.45714286,24.98571429
25.38131519,31.51836735,29.62866213,29.67510204,,28.19591837,26.9231746,15.79029478,41.63047619,25.06739229
25.47936508,31.79183673,29.71573696,29.8985941,,28.36326531,27.02244898,15.88367347,41.74947846,25.63482993
25.5968254,31.9377551,29.99546485,30.19755102,,28.43367347,27.07174603,15.98666667,41.94394558,25.85650794
26.16888889,32.06326531,30.2122449,30.35428571,,28.53442177,27.29360544,16.19301587,42.14131519,26.00634921
26.96199546,32.19795918,,30.47183673,,28.70816327,27.39428571,16.30494331,42.27192744,26.25886621
27.74693878,32.33061224,,30.5414966,,28.85102041,27.50222222,16.39909297,42.47800454,26.35464853
28.24489796,32.44693878,,30.63727891,,29.02494331,27.60054422,16.49251701,42.6521542,26.58684807
28.74666667,32.5877551,,30.93623583,,29.21941043,27.69015873,16.58730159,42.84081633,26.77959184
28.9168254,32.74489796,,31.06394558,,29.37959184,27.80571429,16.69405896,43.19782313,26.85823129
29.07863946,33.02040816,,31.14956916,,29.56326531,27.91492063,16.88598639,43.92054422,27.0338322
29.79410431,33.1377551,,31.27582766,,29.73061224,28.01777778,16.93750567,44.12081633,27.1255102
29.85070295,33.27755102,,31.48335601,,29.80204082,28.11936508,17.00136054,44.28571429,27.39489796
29.95346939,33.41632653,,31.78086168,,29.91020408,28.20353741,17.08843537,44.48362812,27.62884354
30.1877551,33.54387755,,31.96807256,,30.07755102,28.29351474,17.24154195,44.60843537,27.87047619
30.3352381,33.69795918,,32.08417234,,30.23265306,28.40090703,17.30321995,44.79419501,28.00714286
30.53959184,33.98367347,,32.44117914,,30.40072562,28.51591837,17.35981859,45.02058957,28.23111111
30.74285714,34.13469388,,32.74739229,,30.5937415,28.57941043,17.45306122,45.14249433,28.34285714
30.90675737,34.26020408,,32.9229932,,30.76122449,28.81741497,17.5600907,45.38920635,28.5692517
30.96816327,34.4,,33.03909297,,30.93673469,28.91174603,17.64489796,,28.71632653
31.08897959,34.55612245,,33.09133787,,31.09795918,29.01623583,17.73351474,,29.1047619
31.31510204,34.68163265,,33.20598639,,31.16020408,29.10040816,17.83346939,,29.27165533
31.50040816,34.81428571,,33.4614059,,31.27873016,29.23247166,17.93959184,,29.34095238
31.66857143,34.94285714,,33.72263039,,31.33979592,29.34131519,18.01705215,,29.61124717
31.70104308,35.23061224,,33.9475737,,31.65306122,29.44326531,18.11882086,,29.85142857
31.87455782,35.36734694,,,,31.82294785,29.49659864,18.2122449,,30.01469388
32.07909297,35.52040816,,,,31.99419501,29.7229932,18.30739229,,30.11301587
32.28163265,35.66632653,,,,32.15918367,29.84054422,18.38920635,,30.26721088
32.44081633,35.80102041,,,,32.30204082,29.95229025,18.58176871,,30.37315193
32.60979592,35.98163265,,,,32.48471655,30.04734694,18.68752834,,30.52190476
32.80344671,36.28367347,,,,32.63673469,30.14675737,18.86911565,,30.60099773
32.96163265,36.42755102,,,,32.79795918,30.25560091,18.97986395,,30.78965986
33.13795918,36.56938776,,,,32.98104308,30.36734694,19.15138322,,30.84444444
33.32426304,36.73265306,,,,33.14897959,30.46603175,19.22104308,,31.02040816
33.49587302,36.87142857,,,,33.32789116,30.58068027,19.28054422,,31.11619048
33.69469388,37.02244898,,,,33.51020408,30.65469388,19.37269841,,31.26857143
33.81614512,37.15510204,,,,33.65306122,30.72435374,19.46276644,,31.35102041
33.93015873,37.3,,,,33.77857143,30.84335601,19.57151927,,31.52108844
34.01387755,37.4122449,,,,33.85408163,30.97795918,19.67092971,,31.60816327
34.20897959,37.61122449,,,,33.95918367,31.04507937,19.75160998,,31.77360544
34.38086168,37.73571429,,,,34.14929705,31.26857143,19.95265306,,31.870839
34.55918367,37.9244898,,,,34.33877551,31.36870748,20.03301587,,32.0275737
34.59628118,38.07959184,,,,34.49904762,31.47755102,20.14331066,,32.12045351
34.75800454,38.22142857,,,,34.67755102,31.59800454,20.32036281,,32.27718821
34.94956916,38.38571429,,,,34.83673469,31.6952381,20.40743764,,32.37442177
35.15510204,38.68571429,,,,34.98979592,31.80843537,20.50240363,,32.49777778
35.32081633,38.86122449,,,,35.15102041,31.92163265,20.67800454,,32.6153288
35.50367347,39,,,,35.22857143,31.97346939,20.78077098,,32.78367347
35.67891156,39.18163265,,,,35.32045351,32.19809524,20.88344671,,33.13487528
35.74276644,39.32857143,,,,35.51346939,32.3,21.1446712,,33.2553288
35.84163265,39.43979592,,,,35.69795918,32.41632653,21.24172336,,33.36938776
36.03428571,39.57040816,,,,35.86176871,32.52244898,21.40634921,,33.50204082
36.20272109,39.72789116,,,,36.0431746,32.62040816,21.50213152,,33.63265306
36.39328798,39.89183673,,,,36.21632653,32.73265306,21.61487528,,33.75918367
36.58693878,39.96326531,,,,36.37142857,32.84752834,21.72562358,,33.86938776
36.72752834,40.06734694,,,,36.54285714,32.9476644,21.87029478,,33.99510204
36.82539683,40.25687075,,,,36.61632653,33.06376417,21.9630839,,34.05496599
36.94285714,40.46077098,,,,36.73687075,33.14938776,22.06385488,,34.11882086
37.16734694,40.52244898,,,,36.78979592,33.24662132,22.15464853,,34.25088435
37.27827664,40.6000907,,,,,33.36272109,22.24181406,,34.38004535
37.45387755,40.66612245,,,,,33.46938776,22.35519274,,34.49034014
37.49732426,40.79183673,,,,,33.52526077,22.43047619,,34.61950113
37.62648526,41.01151927,,,,,33.77197279,22.52780045,,34.74489796
37.83301587,41.089161,,,,,33.87356009,22.60562358,,34.84897959
38.02612245,41.16789116,,,,,33.98820862,22.69641723,,34.95473923
38.18204082,41.35401361,,,,,34.1014059,22.79718821,,35.02439909
38.34857143,41.43673469,,,,,34.20589569,22.89596372,,35.0737415
38.52643991,41.52755102,,,,,34.3321542,22.95183673,,35.21306122
38.68979592,41.72517007,,,,,34.40612245,23.07655329,,35.35673469
38.88244898,41.93596372,,,,,34.71238095,23.14040816,,35.48589569
39.03229025,42.00780045,,,,,34.80612245,23.2431746,,35.62956916
39.20090703,42.08544218,,,,,34.92653061,23.31138322,,35.75714286
39.39102041,42.15727891,,,,,35.06836735,23.36290249,,35.86122449
39.50585034,42.27959184,,,,,35.22244898,23.43473923,,35.96770975
39.6030839,42.46639456,,,,,35.37244898,23.5444898,,36.02721088
39.70530612,42.5476644,,,,,35.62346939,23.64326531,,36.0954195
39.92571429,42.64054422,,,,,36.00918367,23.72789116,,36.22748299
40.09505669,42.84081633,,,,,36.22346939,23.84979592,,36.36390023
40.25387755,42.92353741,,,,,36.39387755,23.94195011,,36.47129252
40.30693878,43.01734694,,,,,36.50306122,24.01941043,,36.59755102
40.46657596,43.22721088,,,,,36.62653061,24.11102041,,36.70349206
40.65160998,43.42349206,,,,,36.7255102,24.19954649,,36.83555556
40.85306122,43.50693878,,,,,36.86020408,24.29478458,,37.12290249
41.02612245,43.58675737,,,,,36.95510204,24.39328798,,37.16353741
41.19020408,43.65061224,,,,,37.19489796,24.45641723,,37.36326531
41.35764172,43.76938776,,,,,37.33469388,24.50866213,,37.49795918
41.53904762,43.94811791,,,,,37.45102041,24.58702948,,37.61777778
41.60870748,44.14040816,,,,,37.62040816,24.6893424,,37.73265306
41.69578231,44.32253968,,,,,37.74081633,24.75773243,,37.85918367
41.76689342,44.39655329,,,,,37.84897959,24.85986395,,37.97913832
41.86122449,44.5,,,,,37.95816327,24.9447619,,38.10539683
42.02548753,44.6955102,,,,,38.06326531,25.04272109,,38.24907029
42.21632653,44.8244898,,,,,38.23979592,25.1244898,,38.3847619
42.35900227,44.99183673,,,,,38.35918367,25.32136054,,38.48417234
42.42866213,45.18469388,,,,,38.4622449,25.41428571,,38.65396825
42.53469388,45.34489796,,,,,38.71734694,25.59419501,,38.73959184
42.72897959,45.56408163,,,,,38.85714286,25.68979592,,38.88181406
42.88580499,45.72734694,,,,,38.97244898,25.87936508,,39.01968254
43.06122449,45.79773243,,,,,39.07959184,25.93306122,,39.1444898
43.09768707,45.91122449,,,,,39.18163265,25.99764172,,39.28090703
43.42712018,46.11047619,,,,,39.28979592,26.06122449,,39.41587302
43.62040816,46.29387755,,,,,39.38673469,26.40099773,,39.53922902
43.77061224,46.46326531,,,,,39.66020408,26.51428571,,39.67492063
43.93877551,46.64285714,,,,,39.81020408,26.86594104,,39.81206349
44.10340136,46.80852608,,,,,39.9255102,26.95306122,,40.04897959
44.26303855,46.87092971,,,,,40.08877551,27.26802721,,40.17959184
44.32544218,46.92244898,,,,,40.19591837,27.36471655,,40.32653061
44.41396825,47.04870748,,,,,40.31836735,27.66113379,,40.47746032
44.48072562,47.23673469,,,,,40.43673469,27.76530612,,40.57904762
44.57941043,47.39285714,,,,,40.53673469,28.04725624,,40.70603175
44.72734694,47.56027211,,,,,40.60714286,28.16598639,,
44.91673469,47.77142857,,,,,40.71326531,28.42340136,,
45.03510204,47.94285714,,,,,40.82244898,28.54081633,,
45.10331066,48.12346939,,,,,40.94693878,28.79356009,,
45.24408163,48.27428571,,,,,41.19591837,28.91727891,,
45.41714286,48.47129252,,,,,41.34081633,29.04235828,,
45.55319728,48.62653061,,,,,41.45102041,29.15265306,,
45.72081633,48.81428571,,,,,41.55510204,29.27346939,,
45.7752381,49.01006803,,,,,41.65204082,29.38485261,,
45.88988662,49.1907483,,,,,41.77346939,29.49514739,,
46.08027211,49.26911565,,,,,41.87755102,29.60172336,,
46.25061224,49.35111111,,,,,42.12040816,29.71863946,,
46.42122449,49.42802721,,,,,42.26836735,29.81732426,,
46.57387755,49.53979592,,,,,42.38673469,29.93922902,,
46.76789116,49.68780045,,,,,42.55612245,30.04154195,,
